Number replicate;cycle;fungicide;Region;Actinospora megalospora;Alatospora acuminata;Alatospora constricta;Alatospora pulchella;Alatospora sp.;Anguillaspora sp.;Anguillospora filiformis;Anguillospora furtiva;Anguillospora fustiformis;Anguillospora longissima;Anguillospora rosea;Anguillospora sp.;Articulospora tetracladia;Clavariopsis aquatica;Cylindrocarpon aquatica;Cylindrocarpon sp.;Filosporella sp.;Flagellospora curvula;Flagellospora fusaroides;Flagellospora penicillioides;Flagellospora sp.;Fontanospora eccentrica;Fusarium sp.;Geniculospora inflata;Heliscus lugdunensis;Heliscus tentaculus;Infundibura sp.;Lemoniera cornuta;Lemonniera sp. 1;Lemonniera 2;Lemonniera aquatica;Lemonniera sp. 2;Lemonniera terrestris;Unknown 1;Unknown 2;Unknown 3;Unknown 4;Mycocentrospora clavata;Mycocentrospora sp. ;Neonectria lugdunensis;Sigmoida Aurantiaca;Stenocladiella neglecta;Unknown 5;Tetrachaetum elegans;Tetracladium furcatum;Tetracladium marchalianum;Tetracladium setigerum;Tetracladium sp.;Tricladium angulatum;Tricladium attentatum;Tricladium attenuatum;Tricladium chaetocladium;Tricladium curvisporum;Tricladium sp.;Tricladium splendens;Tumularia aquatica;Unkown 7;Varicosporium elodeae;Ypsiliana graminea
1;1;control;SW;0;0;0;0;217.5176075;0;0;0;0;0;0;1289.568673;0;0;0;4.661091589;0;431.9278206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.27200748;0;0;0;9.322183178;0;0;0;0;0;0;6.214788785;0;0;0;0;0;0;0;0
2;1;control;SW;0;0;0;0;130.2190476;0;0;0;0;0;0;34.43809524;5.380952381;0;0;0;0;1.076190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.304761905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;control;SW;0;0;0;0;3.221813953;0;0;0;0;0;0;873.1115814;3.221813953;0;0;0;0;106.3198605;0;0;0;0;0;0;0;0;0;0;0;0;6.443627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;control;SW;0;0;0;0;9.935312679;0;0;0;0;0;0;206.6545037;5.961187608;0;0;0.993531268;0;11.92237522;0;0;0;0;0;0;0;0;0;0;0;0;2.980593804;0;1.987062536;0;0;0;0;0;0;5.961187608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;control;SW;0;0;0;0;25.61565485;0;0;0;0;0;0;1184.724037;3.201956857;0;0;0;0;54.43326656;0;0;0;0;0;0;0;0;0;0;0;0;28.81761171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;TU-1;SW;0;0;0;0;21.15682127;0;0;0;0;0;0;406.6811199;162.2022964;0;0;7.052273756;0;14.10454751;0;0;0;0;0;0;0;0;0;0;0;0;2.350757919;0;0;0;0;0;0;2.350757919;0;133.9932014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;TU-1;SW;0;0;0;0;15.14352341;0;0;0;0;0;0;2097.377992;30.28704682;0;0;0;0;325.5857533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;3029.814797;22.52650407;0;0;0;0;191.4752846;0;0;0;0;0;0;0;0;0;0;0;0;56.31626016;0;11.26325203;0;0;0;0;0;0;56.31626016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;1676.273934;11.32617523;0;0;28.31543807;0;62.29396376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.663087614;0;0;0;0;11.32617523;0;164.2295408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;863.1457642;90.04038548;0;0;3.104840879;0;46.57261318;0;0;0;0;0;0;0;0;0;0;0;0;3.104840879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;TU-1;SW;0;0;0;0;2.108003652;0;0;0;0;0;0;567.0529823;0;0;0;0;0;44.26807669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.18804017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;control;SW;0;0;0;0;66.6549802;0;0;0;0;0;0;134.3198843;0;0;0;1.009923942;0;13.12901125;0;0;0;0;0;0;0;0;0;0;0;0;1.009923942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;control;SW;0;0;0;0;76.29639224;0;0;0;0;0;0;42.38688458;1.059672114;0;0;0;0;3.179016343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;control;SW;0;0;0;0;2.421146452;0;0;0;0;0;0;690.0267389;0;0;0;0;0;48.42292905;0;0;0;0;0;0;0;0;0;0;0;0;4.842292905;0;7.263439357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2;control;SW;0;0;0;0;23.09024975;0;0;0;0;0;0;334.8086214;0;0;0;0;0;34.63537463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2;control;SW;0;0;0;0;42.06619433;0;0;0;0;0;0;1097.545252;11.47259845;0;0;0;0;80.30818918;0;0;0;0;0;0;0;0;0;0;0;0;3.824199485;0;3.824199485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;control;SW;0;0;0;0;18.69293304;0;0;0;0;0;0;87.62312363;0;0;0;0;0;1.168308315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;568.0320328;0;0;0;0;0;168.3057875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;TU-1;SW;0;0;0;0;1.477581058;0;0;0;0;0;0;492.0344923;1.477581058;0;0;0;0;54.67049915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;153.3250998;0;0;0;0;0;18.3074746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.144217163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;13.66215039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;295.4630828;0;0;0;0;0;42.73226403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.546452807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;32.2962514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3;control;SW;0;0;0;0;49.65928886;0;0;0;0;0;0;186.6504306;0;0;0;0;0;114.7300812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.69911417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;control;SW;0;0;0;0;14.90457235;0;0;0;0;0;0;21.29224622;0;0;0;0;0;3.193836932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;control;SW;0;0;0;0;1.116461613;0;0;0;0;0;0;170.8186268;0;0;0;0;0;18.97984742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
