fungicide;cycle;Number.replicate;OMD;region;Temp_field;Temp_lab;weight start;weight end;species
control;1;1;0.000981072;Denmark;9;15;2000;1519.6;18
control;1;2;0.002158212;Denmark;9;15;2000;1092.914286;8
control;1;3;0.001641755;Denmark;9;15;2000;1262.957143;12
control;1;4;0.002094167;Denmark;9;15;2000;1112.69;13
control;1;5;0.002381315;Denmark;9;15;2000;1026.73;9
control;1;6;0.002435344;Denmark;9;15;2000;1011.314286;15
control;1;7;0.002096735;Denmark;9;15;2000;1111.89;9
control;1;1;0.001066868;Germany;7.57;17.3742802;4008;2921.74;NA
control;1;2;0.001219899;Germany;7.57;16.77693256;4016;2826.48;NA
control;1;3;0.001108957;Germany;7.57;17.27062011;4092;2950.75;NA
control;1;4;0.000951647;Germany;7.57;16.52597541;4000;3051.47;NA
control;1;5;0.000952651;Germany;7.57;18.90988271;3994;2950.7;NA
control;1;6;0.001020442;Germany;7.57;18.19199205;4035;2947.53;NA
control;1;7;0.000784897;Germany;7.57;17.422066;4010;3176.25;NA
control;1;1;0.001163648;Sweden;9.39;11.23;2042;1574.222222;7
control;1;2;0.001109059;Sweden;9.39;11.23;2059;1606.82;5
control;1;3;0.001279215;Sweden;9.39;11.23;2020;1517.54;NA
control;1;4;0.001305349;Sweden;9.39;11.23;2057;1536.333333;5
control;1;5;0.001104326;Sweden;9.39;11.23;2025;1581.96;8
control;1;6;0.002075541;Sweden;9.39;11.23;2031;1276.955556;5
TU-1;1;1;0.000993887;Denmark;9;15;2000;1514.157143;14
TU-1;1;2;0.001766431;Denmark;9;15;2000;1219.628571;17
TU-1;1;3;0.001167883;Denmark;9;15;2000;1442.157143;14
TU-1;1;4;0.001381457;Denmark;9;15;2000;1358.442857;15
TU-1;1;5;0.000976173;Denmark;9;15;2000;1521.685714;18
TU-1;1;6;0.001187287;Denmark;9;15;2000;1434.342857;16
TU-1;1;7;0.002478384;Denmark;9;15;2000;999.2;12
TU-1;1;1;0.000415588;Germany;7.57;17.77888975;3986;3515.9;NA
TU-1;1;2;0.000590294;Germany;7.57;17.05668155;3985;3354.35;NA
TU-1;1;3;0.001133026;Germany;7.57;16.38179803;3986;2894.51;NA
TU-1;1;4;0.000443957;Germany;7.57;18.56568404;3970;3454.98;NA
TU-1;1;5;0.000377035;Germany;7.57;17.80953269;4042;3606.46;NA
TU-1;1;6;0.000123709;Germany;7.57;17.0148787;4014;3871.94;NA
TU-1;1;7;7.69E-05;Germany;7.57;18.33233091;4036;3941.07;NA
TU-1;1;1;0.00097356;Sweden;9.39;11.23;2034;1636.133333;8
TU-1;1;2;0.00114774;Sweden;9.39;11.23;2028;1569;4
TU-1;1;3;0.001222441;Sweden;9.39;11.23;1990;1514.1;6
TU-1;1;4;0.000761418;Sweden;9.39;11.23;2056;1734.162222;7
TU-1;1;5;0.001174905;Sweden;9.39;11.23;2034;1564.113333;5
